len_word,pos,neg,rating
28,4,0,4
29,1,0,5
200,7,0,5
131,10,5,3
92,5,2,5
51,0,0,4
75,2,2,4
115,3,3,5
41,2,0,5
93,3,2,4
36,3,0,5
39,3,0,5
38,3,1,5
49,2,1,4
241,14,3,4
206,13,5,4
28,2,0,5
39,2,2,5
48,6,0,3
50,0,2,3
57,4,3,4
2,1,0,5
23,2,1,5
33,2,0,5
447,8,10,5
113,4,2,5
37,3,0,4
64,1,1,5
29,0,1,1
79,3,1,5
207,10,5,5
153,6,1,5
24,2,0,5
60,1,2,5
44,5,0,5
28,4,0,4
61,3,2,4
50,3,0,5
59,2,2,5
188,8,6,4
136,12,2,5
112,7,3,4
121,6,2,4
35,1,1,5
55,4,0,4
26,2,0,5
39,4,1,5
38,4,1,4
62,3,5,5
33,5,0,5
30,2,1,5
49,1,2,4
31,3,3,5
47,2,2,5
87,5,1,5
68,0,1,5
30,2,0,5
25,0,1,3
74,5,2,3
46,6,0,4
29,2,2,2
67,7,1,5
37,2,1,4
70,2,4,5
25,2,0,3
45,1,1,5
77,3,1,5
49,3,0,2
33,3,2,5
82,4,3,5
170,7,2,4
28,2,0,5
293,12,11,5
116,5,0,4
159,2,1,4
105,3,0,5
96,3,1,5
23,3,0,5
35,1,0,5
75,3,1,3
61,3,0,5
85,2,0,4
56,3,2,5
31,1,0,5
26,0,2,3
83,4,2,5
65,3,3,4
60,2,0,4
448,8,5,5
49,2,2,3
1002,52,23,5
40,4,1,5
172,3,7,5
43,1,0,5
80,3,2,1
52,3,1,5
47,2,1,5
40,4,0,5
177,3,9,4
92,5,2,1
73,4,2,3
30,2,0,5
104,6,1,2
414,21,6,5
46,3,0,5
40,2,2,5
50,4,0,5
58,3,0,5
127,9,2,5
51,3,1,2
27,1,1,4
24,2,2,3
33,1,1,4
33,4,1,5
26,0,0,5
97,3,2,3
52,3,1,3
108,1,2,2
31,3,1,4
33,3,0,4
217,14,4,4
217,9,5,4
27,3,0,5
40,4,1,5
34,3,0,5
28,2,0,5
56,2,2,3
313,22,3,5
616,17,9,5
99,3,1,5
23,4,0,4
70,1,2,5
26,4,0,5
36,1,2,5
205,19,8,5
176,6,8,3
38,2,0,5
62,4,0,5
39,1,1,5
63,5,0,4
26,4,0,5
24,3,1,5
68,4,0,4
24,4,1,5
47,5,2,5
83,6,2,4
24,1,0,5
208,16,3,5
75,3,2,5
77,7,3,5
153,2,4,5
40,0,1,5
114,4,6,3
369,18,8,4
29,2,1,4
63,4,2,5
38,2,0,5
32,3,2,5
33,7,0,5
148,10,2,4
29,2,0,5
87,7,0,5
29,4,0,5
258,14,3,4
140,4,2,5
50,5,2,5
27,2,0,5
325,15,8,5
362,25,6,5
70,4,0,5
106,6,2,4
42,0,0,3
33,1,4,2
22,3,0,5
62,8,2,5
62,4,2,4
28,1,0,3
244,8,2,5
39,6,0,5
22,4,1,5
70,6,0,5
168,9,1,3
96,5,4,5
41,3,1,5
84,4,1,3
33,2,1,5
36,2,4,5
31,0,1,4
112,6,1,5
27,5,0,5
438,21,2,3
26,3,0,3
345,9,2,5
119,6,1,4
49,8,0,5
37,2,2,4
160,3,5,2
44,1,1,5
58,3,2,5
92,4,2,5
26,4,0,5
20,3,0,4
36,1,2,2
47,4,1,3
38,1,1,5
26,0,0,2
55,3,1,4
124,6,0,5
57,5,2,5
73,3,0,5
69,6,2,3
22,2,0,5
28,1,0,5
70,10,2,5
28,1,0,5
145,5,8,4
32,2,0,5
451,19,3,4
118,5,0,5
37,1,0,5
29,4,0,5
165,11,4,5
87,7,2,5
21,3,0,3
196,13,2,4
42,2,0,5
55,3,0,5
30,2,0,5
50,1,0,5
29,6,0,5
23,2,0,5
45,3,1,5
26,2,0,1
27,7,0,4
31,1,1,5
139,2,2,3
318,12,6,5
36,3,1,5
167,8,5,3
78,4,2,5
123,8,4,5
56,5,0,5
60,4,0,4
90,6,0,5
183,7,3,5
26,2,0,5
148,6,2,2
30,2,1,5
71,1,2,5
25,0,1,3
286,4,5,3
130,5,1,5
71,4,0,5
54,4,0,5
288,15,5,4
38,7,0,5
110,2,3,5
151,4,3,2
43,3,0,5
90,8,2,4
137,10,2,4
67,7,0,4
68,6,0,5
73,4,2,4
31,1,0,5
31,3,0,3
25,4,0,5
55,3,2,4
32,2,0,5
80,5,3,5
27,4,0,5
29,3,1,5
22,4,1,5
210,12,2,5
23,1,0,4
357,19,6,2
68,5,0,5
26,1,1,5
28,1,1,5
321,13,8,5
48,6,0,5
63,5,0,5
85,4,0,5
29,0,0,5
74,2,2,4
24,1,1,5
29,2,1,5
33,5,0,5
101,4,1,5
81,2,2,5
77,3,0,5
24,2,1,5
302,13,2,4
37,2,0,5
90,9,4,5
96,6,0,4
56,4,0,5
75,4,0,5
114,12,3,5
27,3,0,5
50,3,0,5
248,13,5,5
51,0,4,5
35,1,1,5
97,2,3,3
693,23,9,5
98,9,0,5
80,3,0,5
139,5,2,3
44,5,0,5
223,17,2,5
30,3,0,5
75,3,0,5
173,7,4,4
246,5,10,5
45,2,0,5
24,4,1,5
36,5,1,5
24,3,0,5
264,8,2,5
20,3,0,5
21,4,0,5
40,5,1,5
24,5,0,5
54,7,0,4
20,0,0,5
41,2,0,5
25,1,0,3
45,2,0,5
21,4,0,5
91,3,2,5
40,1,0,5
74,6,1,5
213,13,1,5
35,3,0,5
33,3,0,4
74,7,1,3
42,3,1,5
175,7,5,4
57,8,0,5
32,1,0,5
27,3,0,5
122,6,1,5
29,5,0,5
37,2,0,5
214,16,2,4
5,1,0,5
59,2,0,4
32,1,1,2
46,2,1,5
114,6,2,5
192,10,3,5
31,2,0,5
76,1,0,5
30,4,0,5
37,2,0,4
68,3,2,5
53,5,1,3
141,6,4,5
36,6,0,5
30,3,1,2
42,3,0,5
291,17,2,4
28,2,0,5
43,2,1,5
37,3,1,5
47,4,2,5
857,26,12,3
